"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg."
2010,"January 2010","Exports","France",401,152100
2010,"January 2010","Exports","Finland",401,522200
2010,"January 2010","Exports","Poland",401,26400
2010,"February 2010","Exports","Finland",401,603300
2010,"February 2010","Exports","France",401,219600
2010,"February 2010","Exports","Poland",401,69400
2010,"March 2010","Exports","Finland",401,723400
2010,"March 2010","Exports","Poland",401,84100
2010,"March 2010","Exports","France",401,271200
2010,"April 2010","Exports","France",401,160700
2010,"April 2010","Exports","Poland",401,48700
2010,"April 2010","Exports","Finland",401,684700
2010,"May 2010","Exports","Finland",401,584400
2010,"May 2010","Exports","France",401,151200
2010,"May 2010","Exports","Poland",401,34500
2010,"June 2010","Exports","France",401,190000
2010,"June 2010","Exports","Finland",401,625900
2010,"June 2010","Exports","Poland",401,41600
2010,"July 2010","Exports","Finland",401,613900
2010,"July 2010","Exports","France",401,151800
2010,"July 2010","Imports","Finland",401,1500
2010,"January 2010","Exports","Denmark",401,57100
2010,"January 2010","Exports","Ukraine",401,NA
2010,"February 2010","Exports","Ukraine",401,177
2010,"February 2010","Imports","Ukraine",401,9960
2010,"February 2010","Exports","Denmark",401,69300
2010,"March 2010","Imports","Denmark",401,NA
2010,"March 2010","Imports","Ukraine",401,6727
2010,"March 2010","Exports","Denmark",401,52200
2010,"March 2010","Exports","Ukraine",401,24
2010,"April 2010","Imports","Ukraine",401,14804
2010,"April 2010","Exports","Ukraine",401,NA
2010,"April 2010","Exports","Denmark",401,103500
2010,"May 2010","Imports","Ukraine",401,37888
2010,"May 2010","Exports","Ukraine",401,NA
2010,"May 2010","Exports","Lithuania",401,26520
2010,"May 2010","Exports","Denmark",401,131400
2010,"June 2010","Exports","Ukraine",401,NA
2010,"June 2010","Exports","Lithuania",401,21569
2010,"June 2010","Imports","Ukraine",401,4863
2010,"July 2010","Exports","Ukraine",401,337
2010,"July 2010","Imports","Ukraine",401,12836
2010,"January 2010","Exports","Slovakia",401,241
2010,"April 2010","Exports","Slovakia",401,5053
2010,"October 2010","Exports","Slovakia",401,48
2010,"January 2010","Exports","Italy",401,1300
2010,"December 2010","Exports","Italy",401,800
2010,"January 2010","Imports","Georgia",401,13687
2010,"January 2010","Exports","Germany",401,32797
2010,"January 2010","Imports","Germany",401,27
2010,"January 2010","Imports","Gambia",401,19700
2010,"February 2010","Imports","Armenia",401,19062
2010,"February 2010","Imports","Georgia",401,30290
2010,"February 2010","Exports","Germany",401,68401
2010,"February 2010","Imports","Germany",401,33
2010,"March 2010","Imports","Georgia",401,96633
2010,"March 2010","Imports","Armenia",401,8605
2010,"March 2010","Exports","Germany",401,196150
2010,"April 2010","Imports","Georgia",401,31510
2010,"April 2010","Imports","Armenia",401,3823
2010,"April 2010","Exports","Germany",401,79858
