"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Period"
2010,"January 2010","Exports","France",401,152100,"џэт-рту"
2010,"January 2010","Exports","Finland",401,522200,"џэт-рту"
2010,"January 2010","Exports","Poland",401,26400,"џэт-рту"
2010,"January 2010","Exports","Denmark",401,57100,"џэт-рту"
2010,"January 2010","Exports","Ukraine",401,NA,"џэт-рту"
2010,"January 2010","Exports","Slovakia",401,241,"џэт-рту"
2010,"January 2010","Exports","Italy",401,1300,"џэт-рту"
2010,"January 2010","Imports","Georgia",401,13687,"џэт-рту"
2010,"January 2010","Exports","Germany",401,32797,"џэт-рту"
2010,"January 2010","Imports","Germany",401,27,"џэт-рту"
2010,"January 2010","Imports","Gambia",401,19700,"џэт-рту"
2010,"January 2010","Exports","Estonia",401,296456,"џэт-рту"
2010,"January 2010","Exports","Lithuania",401,44497,"џэт-рту"
2010,"January 2010","Exports","Latvia",401,26009,"џэт-рту"
2010,"January 2010","Imports","Kazakhstan",401,578851,"џэт-рту"
2010,"January 2010","Exports","EU-28",401,1171101,"џэт-рту"
2010,"January 2010","Imports","EU-28",401,27,"џэт-рту"
2010,"January 2010","Exports","Hungary",401,11800,"џэт-рту"
2010,"January 2010","Exports","Bulgaria",401,300,"џэт-рту"
2010,"January 2010","Imports","Rep. of Moldova",401,19449,"џэт-рту"
2011,"January 2011","Exports","Belarus",401,14095644,"џэт-рту"
2011,"January 2011","Exports","Lithuania",401,254699,"џэт-рту"
2011,"January 2011","Imports","Belarus",401,16257,"џэт-рту"
2011,"January 2011","Imports","Lithuania",401,20060,"џэт-рту"
2011,"January 2011","Imports","Kyrgyzstan",401,33226,"џэт-рту"
2011,"January 2011","Exports","Latvia",401,44336,"џэт-рту"
2011,"January 2011","Exports","Kyrgyzstan",401,86,"џэт-рту"
2011,"January 2011","Imports","Kazakhstan",401,1026223,"џэт-рту"
2011,"January 2011","Exports","Denmark",401,49300,"џэт-рту"
2011,"January 2011","Exports","France",401,186900,"џэт-рту"
2011,"January 2011","Exports","Finland",401,845500,"џэт-рту"
2011,"January 2011","Exports","Ukraine",401,790,"џэт-рту"
2011,"January 2011","Imports","Ukraine",401,8841,"џэт-рту"
2011,"January 2011","Exports","Hungary",401,8200,"џэт-рту"
2011,"January 2011","Imports","Germany",401,112,"џэт-рту"
2011,"January 2011","Imports","Georgia",401,20780,"џэт-рту"
2011,"January 2011","Exports","Germany",401,141459,"џэт-рту"
2011,"January 2011","Exports","Poland",401,93681,"џэт-рту"
2011,"January 2011","Imports","EU-28",401,20172,"џэт-рту"
2011,"January 2011","Exports","EU-28",401,2348873,"џэт-рту"
2011,"January 2011","Exports","Slovakia",401,807,"џэт-рту"
2011,"January 2011","Exports","Estonia",401,732300,"џэт-рту"
2011,"January 2011","Imports","Rep. of Moldova",401,20380,"џэт-рту"
2012,"January 2012","Exports","Poland",401,77612,"џэт-рту"
2012,"January 2012","Imports","EU-28",401,220,"џэт-рту"
2012,"January 2012","Exports","EU-28",401,1912432,"џэт-рту"
2012,"January 2012","Exports","Hungary",401,7200,"џэт-рту"
2012,"January 2012","Exports","Finland",401,1073200,"џэт-рту"
2012,"January 2012","Exports","France",401,198700,"џэт-рту"
2012,"January 2012","Exports","Ukraine",401,300,"џэт-рту"
2012,"January 2012","Exports","Luxembourg",401,NA,"џэт-рту"
2012,"January 2012","Imports","Ukraine",401,7084,"џэт-рту"
2012,"January 2012","Imports","Germany",401,220,"џэт-рту"
2012,"January 2012","Exports","Germany",401,177107,"џэт-рту"
2012,"January 2012","Exports","Denmark",401,32900,"џэт-рту"
2012,"January 2012","Imports","Belarus",401,4300,"џэт-рту"
2012,"January 2012","Exports","Belarus",401,21222226,"џэт-рту"
2012,"January 2012","Exports","Estonia",401,307500,"џэт-рту"
2012,"January 2012","Imports","Rep. of Moldova",401,16481,"џэт-рту"
2012,"January 2012","Exports","Lithuania",401,35000,"џэт-рту"
2012,"January 2012","Exports","Latvia",401,1597,"џэт-рту"
2012,"January 2012","Exports","Kyrgyzstan",401,60,"џэт-рту"
2012,"January 2012","Exports","Kazakhstan",401,1300,"џэт-рту"
2012,"January 2012","Imports","Kyrgyzstan",401,36498,"џэт-рту"
2012,"January 2012","Imports","Kazakhstan",401,1554200,"џэт-рту"
2012,"January 2012","Imports","Georgia",401,29503,"џэт-рту"
2013,"January 2013","Exports","Denmark",401,115000,"џэт-рту"
2013,"January 2013","Imports","Russian Federation",401,1710,"џэт-рту"
2013,"January 2013","Exports","Serbia",401,1484,"џэт-рту"
2013,"January 2013","Re-imports","Russian Federation",401,1710,"џэт-рту"
2013,"January 2013","Exports","EU-28",401,2660357,"џэт-рту"
2013,"January 2013","Imports","United States of America",401,NA,"џэт-рту"
2013,"January 2013","Exports","Estonia",401,523000,"џэт-рту"
2013,"January 2013","Exports","Germany",401,185184,"џэт-рту"
2013,"January 2013","Exports","Poland",401,94976,"џэт-рту"
2013,"January 2013","Imports","Georgia",401,23160,"џэт-рту"
2013,"January 2013","Exports","Lithuania",401,165688,"џэт-рту"
2013,"January 2013","Exports","Latvia",401,433,"џэт-рту"
2013,"January 2013","Imports","Kazakhstan",401,NA,"џэт-рту"
2013,"January 2013","Exports","Italy",401,2800,"џэт-рту"
2013,"January 2013","Exports","France",401,143500,"џэт-рту"
2013,"January 2013","Imports","Azerbaijan",401,125048,"џэт-рту"
2013,"January 2013","Exports","Finland",401,1429872,"џэт-рту"
2013,"January 2013","Exports","Belarus",401,28150198,"џэт-рту"
2013,"January 2013","Imports","Belarus",401,53532,"џэт-рту"
2013,"January 2013","Imports","Ukraine",401,4640,"џэт-рту"
2013,"January 2013","Exports","Ukraine",401,165,"џэт-рту"
2013,"January 2013","Exports","Kazakhstan",401,NA,"џэт-рту"
2014,"January 2014","Exports","EU-28",401,3785304,"џэт-рту"
2014,"January 2014","Imports","EU-28",401,162,"џэт-рту"
2014,"January 2014","Exports","Poland",401,436280,"џэт-рту"
2014,"January 2014","Exports","Finland",401,1833352,"џэт-рту"
2014,"January 2014","Exports","Slovenia",401,13684,"џэт-рту"
2014,"January 2014","Imports","Azerbaijan",401,29125,"џэт-рту"
2014,"January 2014","Imports","Ukraine",401,886,"џэт-рту"
2014,"January 2014","Exports","Belarus",401,25251748,"џэт-рту"
2014,"January 2014","Imports","Belarus",401,96388,"џэт-рту"
2014,"January 2014","Exports","Belgium",401,347300,"џэт-рту"
2014,"January 2014","Imports","Georgia",401,42820,"џэт-рту"
2014,"January 2014","Exports","Estonia",401,618051600,"џэт-рту"
2014,"January 2014","Exports","Ukraine",401,109,"џэт-рту"
2014,"January 2014","Exports","Lithuania",401,73853,"џэт-рту"
2014,"January 2014","Exports","Denmark",401,89783,"џэт-рту"
2014,"January 2014","Exports","Rep. of Moldova",401,18,"џэт-рту"
2014,"January 2014","Exports","France",401,20316,"џэт-рту"
2014,"January 2014","Exports","Italy",401,5413,"џэт-рту"
2014,"January 2014","Imports","Germany",401,162,"џэт-рту"
2014,"January 2014","Exports","Austria",401,17000,"џэт-рту"
2014,"January 2014","Imports","Armenia",401,18811,"џэт-рту"
2014,"January 2014","Exports","Kazakhstan",401,3180186,"џэт-рту"
2014,"January 2014","Imports","Kazakhstan",401,995603,"џэт-рту"
2014,"January 2014","Imports","Kyrgyzstan",401,25033,"џэт-рту"
2014,"January 2014","Exports","Kyrgyzstan",401,2,"џэт-рту"
2014,"January 2014","Exports","Latvia",401,289061,"џэт-рту"
2015,"January 2015","Exports","Serbia",401,72105,"џэт-рту"
2015,"January 2015","Exports","Estonia",401,3024,"џэт-рту"
2015,"January 2015","Exports","EU-28",401,3024,"џэт-рту"
2015,"January 2015","Imports","Azerbaijan",401,8409,"џэт-рту"
2015,"January 2015","Imports","Belarus",401,104685,"џэт-рту"
2015,"January 2015","Imports","Georgia",401,24859,"џэт-рту"
2015,"January 2015","Imports","Armenia",401,18941,"џэт-рту"
2015,"January 2015","Imports","Ukraine",401,295,"џэт-рту"
2015,"January 2015","Imports","Rep. of Moldova",401,17460,"џэт-рту"
2015,"January 2015","Exports","Belarus",401,23699129,"џэт-рту"
